Litter,input_valid_3,input_valid_2,input_valid,tag_merge,Challenges,Tags,Location (Lat / Long),Name,Username,Date,Country Code,Image URL
2186819,,,,,Our Clean Community,"metal, bobbypin",33.9757636702005/-117.333150794839,Melissa,mchou009,2018-11-24T12:15:07Z,US,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/24/b30e6ec0-ef80-11e8-8fad-b97409d779cf-101103/180x180.jpg
2186792,,,,,Our Clean Community,paper,33.976599814825/-117.331040344518,Melissa,mchou009,2018-11-24T12:02:07Z,US,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/24/385bbec0-ef7c-11e8-8fad-b97409d779cf-101103/180x180.jpg
2183120,,,,,Our Clean Community,"plastic, cup",33.9759074198398/-117.333057001342,Melissa,mchou009,2018-11-21T06:17:30Z,US,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/21/15936460-edd8-11e8-bc4b-e7492178de2c-101103/180x180.jpg
2183595,,,,,Our Clean Community,"paper, miscellaneous",33.99712938/-117.36256289,Stanley,stanley-7,2018-11-21T01:15:18Z,US,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/21/8a7aa880-ee0d-11e8-9f2b-2d7adcf3fd0a-101265/180x180.jpg
2183589,,,,,Our Clean Community,"plastic, lid",33.99766584/-117.3621277,Stanley,stanley-7,2018-11-21T01:10:52Z,US,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/21/62f02150-ee0d-11e8-9f2b-2d7adcf3fd0a-101265/180x180.jpg
2175840,,,,,Our Clean Community,apple,33.9425453078318/-117.299194112529,Hannah Hapich,hannah-hapich,2018-11-18T05:52:45Z,US,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/18/b605e0f0-eb5b-11e8-a76f-db2f1fd18bd5-99977/180x180.jpg
2177566,,,,,Our Clean Community,"plastic, wrapper, foodwrapper",33.99821915/-117.3619921,Stanley,stanley-7,2018-11-17T01:25:24Z,US,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/17/27848d20-ec2a-11e8-9b61-ab6887f40f06-101265/180x180.jpg
2177554,,,,,Our Clean Community,"plastic, cup, starbucks",33.99666449/-117.36289511,Stanley,stanley-7,2018-11-17T01:14:11Z,US,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/17/195829f0-ec2a-11e8-9b61-ab6887f40f06-101265/180x180.jpg
2169245,,,,,Our Clean Community,"plastic, wrapper, Heinz",33.9757565874923/-117.332887854536,Melissa,mchou009,2018-11-17T12:49:13Z,US,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/17/0508ed40-ea04-11e8-89b7-dbb43046ea45-101103/180x180.jpg
2169235,,,,,Our Clean Community,"plastic, wrapper, Heinz",33.9757831581253/-117.332706973066,Melissa,mchou009,2018-11-17T12:44:08Z,US,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/17/f41fdb10-ea03-11e8-89b7-dbb43046ea45-101103/180x180.jpg
2169228,,,,,Our Clean Community,paper,33.9765761258238/-117.333268345148,Melissa,mchou009,2018-11-17T12:39:18Z,US,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/17/e89ffa40-ea03-11e8-89b7-dbb43046ea45-101103/180x180.jpg
2169222,,,,,Our Clean Community,apple,33.9757744828555/-117.332129962852,Melissa,mchou009,2018-11-17T12:35:19Z,US,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/17/e12526f0-ea03-11e8-89b7-dbb43046ea45-101103/180x180.jpg
2169221,,,,,Our Clean Community,paper,33.9757641312051/-117.332147145753,Melissa,mchou009,2018-11-17T12:34:58Z,US,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/17/e0592460-ea03-11e8-89b7-dbb43046ea45-101103/180x180.jpg
2169093,,,,,Our Clean Community,"plastic, bag",33.975757132316/-117.331623779719,Melissa,mchou009,2018-11-17T12:24:56Z,US,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/17/5af02520-e9ff-11e8-89b7-dbb43046ea45-101103/180x180.jpg
2166363,,,,,Our Clean Community,"food, orange",33.99902183/-117.36128463,Stanley,stanley-7,2018-11-16T12:52:53Z,US,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/16/f6a12aa0-e946-11e8-9f10-0ba0af958ec9-101265/180x180.jpg
2162040,,,,,Our Clean Community,"wood, hagendaas",33.9432217274177/-117.299387483035,Hannah Hapich,hannah-hapich,2018-11-13T03:05:06Z,US,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/13/31aaac80-e757-11e8-9fd2-affc09be3ea3-99977/180x180.jpg
2162021,,,,,Our Clean Community,paper,33.943210621396/-117.299379436408,Hannah Hapich,hannah-hapich,2018-11-13T03:03:20Z,US,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/13/67f25010-e755-11e8-9fd2-affc09be3ea3-99977/180x180.jpg
2157140,,,,,Our Clean Community,"plastic, straw",33.9758089324776/-117.333208127057,Melissa,mchou009,2018-11-11T08:46:34Z,US,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/11/d25687e0-e5f3-11e8-b9fb-c9df4b0f776b-101103/180x180.jpg
2157135,,,,,Our Clean Community,foam,33.9758372214008/-117.333257245009,Melissa,mchou009,2018-11-11T08:43:25Z,US,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/11/cda0a0f0-e5f3-11e8-b9fb-c9df4b0f776b-101103/180x180.jpg
2157123,,,,,Our Clean Community,foam,33.9758132910672/-117.333217766245,Melissa,mchou009,2018-11-11T08:39:53Z,US,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/11/bf3eaed0-e5f3-11e8-b9fb-c9df4b0f776b-101103/180x180.jpg
2157122,,,,,Our Clean Community,foam,33.9758132910672/-117.333217766245,Melissa,mchou009,2018-11-11T08:39:24Z,US,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/11/bc3a4870-e5f3-11e8-b9fb-c9df4b0f776b-101103/180x180.jpg
2157116,,,,,Our Clean Community,foam,33.9758209185991/-117.33321298856,Melissa,mchou009,2018-11-11T08:36:34Z,US,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/11/b5f44ba0-e5f3-11e8-b9fb-c9df4b0f776b-101103/180x180.jpg
2157115,,,,,Our Clean Community,foam,33.9758115308676/-117.333213072379,Melissa,mchou009,2018-11-11T08:36:13Z,US,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/11/b421d590-e5f3-11e8-b9fb-c9df4b0f776b-101103/180x180.jpg
